k 	 a 	 b 	 (b - a) 	 (bPrev - aPrev) / (b - a) 	 x1 	 x2 	 f1 	 f2 
1	-2.0000000000000000	20.0000000000000000	22.0000000000000000	1.9999999913302333	8.9999999523162835	9.0000000476837165	48.9999993324279686	49.0000006675720314
2	-2.0000000000000000	9.0000000476837165	11.0000000476837165	1.9999999826604673	3.4999999761581426	3.5000000715255739	2.2499999284744283	2.2500002145767271
3	-2.0000000000000000	3.5000000715255739	5.5000000715255739	1.9999999653209348	0.7499999880790711	0.7500000834465028	1.5625000298023224	1.5624997913837499
4	0.7499999880790711	3.5000000715255739	2.7500000834465030	1.9999999306418730	2.1249999821186067	2.1250000774860380	0.0156249955296520	0.0156250193715155
5	0.7499999880790711	2.1250000774860380	1.3750000894069669	1.9999998612837540	1.4374999850988386	1.4375000804662703	0.3164062667638068	0.3164061594754524
6	1.4374999850988386	2.1250000774860380	0.6875000923871994	1.9999997225675477	1.7812499836087226	1.7812500789761543	0.0478515696711842	0.0478515279479387
7	1.7812499836087226	2.1250000774860380	0.3437500938773155	1.9999994451352467	1.9531249828636643	1.9531250782310960	0.0021972672315318	0.0021972582908409
8	1.9531249828636643	2.1250000774860380	0.1718750946223737	1.9999988902711199	2.0390624824911354	2.0390625778585667	0.0015258775383703	0.0015258849889566
9	1.9531249828636643	2.0390625778585667	0.0859375949949024	1.9999977805446818	1.9960937326773995	1.9960938280448313	0.0000152589243956	0.0000152581793433
10	1.9960937326773995	2.0390625778585667	0.0429688451811672	1.9999955610992364	2.0175781075842676	2.0175782029516989	0.0003089898662441	0.0003089932190111
11	1.9960937326773995	2.0175782029516989	0.0214844702742993	1.9999911222379216	2.0068359201308335	2.0068360154982647	0.0000467298040351	0.0000467311078925
12	1.9960937326773995	2.0068360154982647	0.0107422828208652	1.9999822446333884	2.0014648264041166	2.0014649217715479	0.0000021457163942	0.0000021459957968
13	1.9960937326773995	2.0014649217715479	0.0053711890941484	1.9999644898971061	1.9987792795407577	1.9987793749081895	0.0000014901584396	0.0000014899256148
14	1.9987792795407577	2.0014649217715479	0.0026856422307902	1.9999289823163882	2.0001220529724373	2.0001221483398686	0.0000000148969281	0.0000000149202169
15	1.9987792795407577	2.0001221483398686	0.0013428687991108	1.9998579747184215	1.9994506662565972	1.9994507616240289	0.0000003017675616	0.0000003016627936
16	1.9994506662565972	2.0001221483398686	0.0006714820832714	1.9997159897734755	1.9997863596145169	1.9997864549819486	0.0000000456422143	0.0000000456014747
17	1.9997863596145169	2.0001221483398686	0.0003357887253517	1.9994321408274076	1.9999542062934770	1.9999543016609087	0.0000000020970636	0.0000000020883382
18	1.9999542062934770	2.0001221483398686	0.0001679420463916	1.9988649262168745	2.0000381296329572	2.0000382250003885	0.0000000014538689	0.0000000014611507
19	1.9999542062934770	2.0000382250003885	0.0000840187069115	1.9977324262866631	1.9999961679632168	1.9999962633306485	0.0000000000146845	0.0000000000139627
20	1.9999961679632168	2.0000382250003885	0.0000420570371717	1.9954751131299899	2.0000171487980869	2.0000172441655182	0.0000000002940813	0.0000000002973612
21	1.9999961679632168	2.0000172441655182	0.0000210762023014	1.9909909910064867	2.0000066583806517	2.0000067537480830	0.0000000000443340	0.0000000000456131
22	1.9999961679632168	2.0000067537480830	0.0000105857848662	1.9821428571732973	2.0000014131719341	2.0000015085393654	0.0000000000019971	0.0000000000022757
23	1.9999961679632168	2.0000015085393654	0.0000053405761486	1.9649122805999939	1.9999987905675753	1.9999988859350071	0.0000000000014627	0.0000000000012411
24	1.9999987905675753	2.0000015085393654	0.0000027179717901	1.9322033896405519	2.0000001018697549	2.0000001972371861	0.0000000000000104	0.0000000000000389
25	1.9999987905675753	2.0000001972371861	0.0000014066696108	1.8730158721288992	1.9999994462186648	1.9999995415860965	0.0000000000003067	0.0000000000002101
26	1.9999994462186648	2.0000001972371861	0.0000007510185214	1.7746478868583748	1.9999997740442097	1.9999998694116414	0.0000000000000511	0.0000000000000171
27	1.9999997740442097	2.0000001972371861	0.0000004231929764	1.6321839060280499	1.9999999379569819	2.0000000333244135	0.0000000000000038	0.0000000000000011
28	1.9999999379569819	2.0000001972371861	0.0000002592802042	1.4621848754543225	2.0000000199133683	2.0000001152807996	0.0000000000000004	0.0000000000000133
