k 	 a 	 b 	 (b - a) 	 (bPrev - aPrev) / (b - a) 	 x1 	 x2 	 f1 	 f2 
1	-2.0000000000000000	20.0000000000000000	22.0000000000000000	1.6180339887498947	3.1934955049953730	6.4032522475023121	1.4244315204441604	19.3886303551341648
2	-2.0000000000000000	11.5967477524976879	13.5967477524976879	1.6180339887498951	1.2097567425069391	3.1934955049953730	0.6244844060132442	1.4244315204441604
3	-2.0000000000000000	6.4032522475023121	8.4032522475023121	1.6180339887498947	-0.0162612375115672	1.2097567425069391	4.0653093778916753	0.6244844060132442
4	-2.0000000000000000	3.1934955049953730	5.1934955049953730	1.6180339887498947	1.2097567425069391	1.9674775249768663	0.6244844060132442	0.0010577113816304
5	-0.0162612375115672	3.1934955049953730	3.2097567425069400	1.6180339887498942	1.9674775249768663	2.4357747225254460	0.0010577113816304	0.1898996087921295
6	1.2097567425069391	3.1934955049953730	1.9837387624884339	1.6180339887498951	1.6780539400555192	1.9674775249768663	0.1036492655137752	0.0010577113816304
7	1.2097567425069391	2.4357747225254460	1.2260179800185069	1.6180339887498947	1.9674775249768663	2.1463511376040993	0.0010577113816304	0.0214186554780140
8	1.6780539400555192	2.4357747225254460	0.7577207824699268	1.6180339887498953	1.8569275526827529	1.9674775249768663	0.0204697251813464	0.0010577113816304
9	1.6780539400555192	2.1463511376040993	0.4682971975485801	1.6180339887498949	1.9674775249768663	2.0358011653099868	0.0010577113816304	0.0012817234375530
10	1.8569275526827529	2.1463511376040993	0.2894235849213465	1.6180339887498929	1.9252511930158738	1.9674775249768663	0.0055873841455502	0.0010577113816304
11	1.8569275526827529	2.0358011653099868	0.1788736126272339	1.6180339887498936	1.9674775249768663	1.9935748333489949	0.0010577113816304	0.0000412827664932
12	1.9252511930158738	2.0358011653099868	0.1105499722941130	1.6180339887499087	1.9935748333489949	2.0097038569378580	0.0000412827664932	0.0000941648394704
13	1.9674775249768663	2.0358011653099868	0.0683236403331204	1.6180339887498925	1.9836065485657293	1.9935748333489949	0.0002687452499278	0.0000412827664932
14	1.9674775249768663	2.0097038569378580	0.0422263319609917	1.6180339887499011	1.9935748333489949	1.9997355721545920	0.0000412827664932	0.0000000699220854
15	1.9836065485657293	2.0097038569378580	0.0260973083721288	1.6180339887498563	1.9997355721545920	2.0035431181322609	0.0000000699220854	0.0000125536860992
16	1.9935748333489949	2.0097038569378580	0.0161290235888631	1.6180339887499235	1.9973823793266641	1.9997355721545920	0.0000068519379895	0.0000000699220854
17	1.9935748333489949	2.0035431181322609	0.0099682847832661	1.6180339887498782	1.9997355721545920	2.0011899253043333	0.0000000699220854	0.0000014159222299
18	1.9973823793266641	2.0035431181322609	0.0061607388055969	1.6180339887499386	1.9988367324764058	1.9997355721545920	0.0000013531913314	0.0000000699220854
19	1.9973823793266641	2.0011899253043333	0.0038075459776692	1.6180339887499331	1.9997355721545920	2.0002910856261473	0.0000000699220854	0.0000000847308417
20	1.9988367324764058	2.0011899253043333	0.0023531928279275	1.6180339887500421	1.9993922459479616	1.9997355721545920	0.0000003693649878	0.0000000699220854
21	1.9988367324764058	2.0002910856261473	0.0014543531497415	1.6180339887499093	1.9997355721545920	1.9999477594195174	0.0000000699220854	0.0000000027290782
22	1.9993922459479616	2.0002910856261473	0.0008988396781857	1.6180339887511506	1.9999477594195174	2.0000788983612217	0.0000000027290782	0.0000000062249514
