1	0.1612 0.0260	0.7036	-0.9995 0.0309  -1.0000 -0.0000	-0.8388	-0.8388 0.0260	-99.2964	-0.8388 0.0260  -0.8388 -0.0000
2	0.2087 0.0246	0.6622	0.9996 -0.0293  0.0000 -1.0000	-0.0450	0.0475 -0.0014	-0.0414	0.0475 -0.0014  0.0449 -0.0014
3	0.2063 0.0426	0.6299	-0.1291 0.9916  0.0000 -1.0000	-0.0023	-0.0023 0.0180	-0.0323	-0.0023 0.0180  -0.0000 0.0180
4	0.2065 0.0427	0.6297	0.7386 0.6741  0.0000 -1.0000	-0.0010	0.0001 0.0001	-0.0002	0.0001 0.0001  -0.0000 0.0011
5	0.2450 0.0601	0.5700	0.9115 0.4112  0.0000 -1.0000	0.0522	0.0385 0.0174	-0.0597	0.0385 0.0174  0.0000 -0.0178
6	0.3729 0.1391	0.3932	0.8508 0.5255  0.0000 -1.0000	0.1403	0.1279 0.0790	-0.1768	0.1279 0.0790  -0.0000 0.0213
7	0.4580 0.2099	0.2937	0.7689 0.6393  0.0000 -1.0000	0.1001	0.0851 0.0708	-0.0995	0.0851 0.0708  -0.0000 0.0182
8	0.5513 0.3041	0.2013	0.7037 0.7105  0.0000 -1.0000	0.1213	0.0933 0.0942	-0.0924	0.0933 0.0942  -0.0000 0.0166
9	0.6333 0.4011	0.1345	0.6451 0.7641  0.0000 -1.0000	0.1164	0.0819 0.0970	-0.0668	0.0819 0.0970  -0.0000 0.0143
10	0.7104 0.5048	0.0839	0.5970 0.8022  0.0000 -1.0000	0.1196	0.0772 0.1037	-0.0506	0.0772 0.1037  -0.0000 0.0123
11	0.7801 0.6086	0.0484	0.5572 0.8304  0.0000 -1.0000	0.1167	0.0697 0.1038	-0.0355	0.0697 0.1038  -0.0000 0.0102
12	0.8421 0.7092	0.0249	0.5248 0.8512  0.0000 -1.0000	0.1113	0.0620 0.1006	-0.0234	0.0620 0.1006  -0.0000 0.0082
13	0.8957 0.8023	0.0109	0.4987 0.8667  0.0000 -1.0000	0.1021	0.0536 0.0931	-0.0140	0.0536 0.0931  -0.0000 0.0062
14	0.9397 0.8830	0.0036	0.4786 0.8780  0.0000 -1.0000	0.0882	0.0440 0.0807	-0.0072	0.0440 0.0807  -0.0000 0.0043
15	0.9723 0.9454	0.0008	0.4632 0.8862  0.0000 -1.0000	0.0681	0.0326 0.0623	-0.0029	0.0326 0.0623  -0.0000 0.0026
16	0.9927 0.9855	0.0001	0.4534 0.8913  0.0000 -1.0000	0.0441	0.0204 0.0401	-0.0007	0.0204 0.0401  -0.0000 0.0011
17	0.9996 0.9992	0.0000	0.4499 0.8931  0.0000 -1.0000	0.0152	0.0069 0.0137	-0.0001	0.0069 0.0137  -0.0000 0.0001
