1	0.1613 0.0260	0.7035	-0.9995 0.0310  -1.0000 -0.0000	-0.8387	-0.8387 0.0260	-99.2965	-0.8387 0.0260  -0.8387 -0.0000
2	0.2087 0.0246	0.6620	0.9996 -0.0293  0.0000 -1.0000	-0.0450	0.0475 -0.0014	-0.0414	0.0475 -0.0014  0.0449 -0.0014
3	0.2065 0.0426	0.6297	-0.1253 0.9921  0.0000 -1.0000	-0.0023	-0.0023 0.0180	-0.0323	-0.0023 0.0180  -0.0000 0.0179
4	0.2066 0.0427	0.6295	0.9243 0.3818  0.0000 -1.0000	-0.0009	0.0001 0.0000	-0.0002	0.0001 0.0000  -0.0000 0.0010
5	0.3543 0.1255	0.4169	0.8722 0.4892  0.0000 -1.0000	0.1599	0.1478 0.0829	-0.2126	0.1478 0.0829  -0.0000 0.0218
6	0.4347 0.1889	0.3196	0.7851 0.6194  0.0000 -1.0000	0.0921	0.0804 0.0634	-0.0973	0.0804 0.0634  -0.0000 0.0183
7	0.5314 0.2823	0.2196	0.7192 0.6948  0.0000 -1.0000	0.1232	0.0967 0.0934	-0.1000	0.0967 0.0934  -0.0000 0.0171
8	0.6138 0.3767	0.1492	0.6578 0.7532  0.0000 -1.0000	0.1146	0.0824 0.0944	-0.0705	0.0824 0.0944  -0.0000 0.0148
9	0.6929 0.4801	0.0943	0.6078 0.7941  0.0000 -1.0000	0.1202	0.0791 0.1033	-0.0548	0.0791 0.1033  -0.0000 0.0128
10	0.7639 0.5836	0.0557	0.5659 0.8244  0.0000 -1.0000	0.1169	0.0711 0.1035	-0.0386	0.0711 0.1035  -0.0000 0.0107
11	0.8279 0.6855	0.0296	0.5319 0.8468  0.0000 -1.0000	0.1131	0.0640 0.1019	-0.0261	0.0640 0.1019  -0.0000 0.0086
12	0.8835 0.7806	0.0136	0.5045 0.8634  0.0000 -1.0000	0.1045	0.0556 0.0951	-0.0160	0.0556 0.0951  -0.0000 0.0066
13	0.9299 0.8647	0.0049	0.4829 0.8757  0.0000 -1.0000	0.0919	0.0464 0.0841	-0.0087	0.0464 0.0841  -0.0000 0.0047
14	0.9656 0.9323	0.0012	0.4666 0.8845  0.0000 -1.0000	0.0739	0.0357 0.0676	-0.0037	0.0357 0.0676  -0.0000 0.0029
15	0.9888 0.9777	0.0001	0.4555 0.8902  0.0000 -1.0000	0.0498	0.0232 0.0454	-0.0011	0.0232 0.0454  -0.0000 0.0014
16	0.9986 0.9972	0.0000	0.4495 0.8933  0.0000 -1.0000	0.0216	0.0098 0.0195	-0.0001	0.0098 0.0195  -0.0000 0.0003
17	1.0000 1.0000	0.0000	0.4475 0.8943  0.0000 -1.0000	0.0031	0.0014 0.0027	-0.0000	0.0014 0.0027  -0.0000 0.0000
18	1.0000 1.0000	0.0000	0.4473 0.8944  0.0000 -1.0000	0.0000	0.0000 0.0000	-0.0000	0.0000 0.0000  -0.0000 0.0000
